,sickroom,date
0,D15122,2019-10-10
1,D15122,2019-10-08
2,D15122,2019-10-09
3,D15122,2019-10-11
13,D15101,2019-11-21
14,D15101,2019-11-20
15,D15101,2019-11-26
16,D15101,2019-11-27
18,D15101,2019-11-18
19,D15101,2019-11-19
20,D15101,2019-11-22
24,D15101,2019-11-28
27,D15101,2019-11-23
28,D15101,2019-11-24
29,D15101,2019-11-25
35,D15101,2019-11-29
39,D15101,2019-11-30
70,D15101,2019-12-01
132,D15102,2019-07-24
133,D15192,2019-11-18
134,D15192,2019-11-19
135,D15192,2019-11-21
137,D15192,2019-11-20
139,D15192,2019-11-22
226,D15193,2019-11-25
228,D15222,2019-11-28
230,D15222,2019-11-30
231,D15222,2019-11-27
237,D15222,2019-11-29
269,D15223,2019-12-16
270,D15223,2019-12-17
271,D15223,2019-12-13
272,D15223,2019-12-14
273,D15223,2019-12-10
275,D15223,2019-12-15
285,D15223,2019-12-12
300,D15223,2019-12-11
361,D15121,2019-08-15
363,D15121,2019-08-13
365,D15121,2019-08-17
366,D15121,2019-08-16
367,D15121,2019-08-14
372,D15121,2019-08-20
374,D15121,2019-08-18
378,D15121,2019-08-19
454,D15122,2019-08-12
459,D15122,2019-08-13
471,D15181,2019-12-28
473,D15181,2019-12-29
475,D15181,2019-12-30
476,D15181,2019-12-16
477,D15181,2019-12-18
479,D15181,2019-12-20
480,D15181,2019-12-19
481,D15181,2019-12-27
482,D15181,2019-12-21
483,D15181,2019-12-22
485,D15181,2019-12-23
486,D15181,2019-12-14
488,D15181,2019-12-15
497,D15181,2019-12-31
498,D15181,2019-12-25
503,D15181,2019-12-17
512,D15181,2019-12-24
519,D15181,2019-12-13
532,D15181,2019-12-26
866,D15212,2019-12-26
868,D15212,2019-12-30
871,D15212,2019-12-27
876,D15212,2019-12-28
877,D15212,2019-12-29
880,D15212,2019-12-31
939,D15191,2019-11-08
940,D15191,2019-11-09
941,D15191,2019-11-10
943,D15191,2019-11-07
950,D15191,2019-11-11
980,D15201,2019-12-11
982,D15201,2019-12-10
983,D15201,2019-12-06
984,D15201,2019-12-04
986,D15201,2019-12-05
988,D15201,2019-12-03
991,D15201,2019-12-07
992,D15201,2019-12-08
998,D15201,2019-12-12
1008,D15201,2019-12-09
1095,D15202,2019-09-09
1096,D15202,2019-09-10
1099,D15202,2019-09-11
1110,D15202,2019-09-12
1177,D15222,2019-07-27
1178,D15222,2019-07-19
1180,D15222,2019-07-29
1181,D15222,2019-07-23
1182,D15222,2019-07-20
1183,D15222,2019-07-22
1184,D15222,2019-07-26
1185,D15222,2019-07-30
1191,D15222,2019-07-21
1194,D15222,2019-07-25
1199,D15222,2019-07-24
1202,D15222,2019-07-28
1217,D15223,2019-11-06
1218,D15223,2019-11-07
1222,D15231,2019-12-31
1223,D15231,2019-12-30
1246,D15252,2019-09-22
1248,D15252,2019-09-23
1249,D15252,2019-09-24
1255,D15252,2019-09-25
1257,D15252,2019-09-21
1329,D15182,2019-12-06
1330,D15182,2019-12-07
1349,D15183,2019-09-01
1350,D15183,2019-08-31
1351,D15183,2019-08-29
1352,D15183,2019-08-26
1354,D15183,2019-08-28
1355,D15183,2019-08-30
1356,D15183,2019-08-27
1359,D15183,2019-09-02
1361,D15183,2019-08-25
1382,D15191,2019-09-01
1383,D15191,2019-09-10
1384,D15191,2019-08-31
1385,D15191,2019-08-26
1386,D15191,2019-08-25
1387,D15191,2019-09-08
1388,D15191,2019-08-29
1389,D15191,2019-08-21
1390,D15191,2019-08-17
1392,D15191,2019-09-07
1394,D15191,2019-09-05
1396,D15191,2019-08-16
1397,D15191,2019-08-15
1398,D15191,2019-08-28
1400,D15191,2019-09-04
1401,D15191,2019-08-27
1402,D15191,2019-08-22
1403,D15191,2019-09-03
1405,D15191,2019-08-18
1409,D15191,2019-08-19
1411,D15191,2019-08-20
1415,D15191,2019-09-09
1416,D15191,2019-09-11
1418,D15191,2019-09-02
1419,D15191,2019-08-14
1421,D15191,2019-08-30
1423,D15191,2019-08-23
1435,D15191,2019-09-06
1454,D15191,2019-08-24
1465,D15191,2019-08-13
1499,D15201,2019-12-25
1500,D15201,2019-12-26
1501,D15201,2019-12-24
1508,D15201,2019-12-27
1700,D15102,2019-09-22
